question_id,category,evaluation_type,expected_output,prompt
Q000,warmup,,,Hello.
Q001,logic,exact_match,5,"A farmer has 10 cows. All but 5 die. How many cows are left?"
Q002,logic,exact_match,200,"If a machine takes 10 minutes to make 5 widgets, how many widgets can it make in 400 minutes?"
Q003,logic,exact_match,48,"There are 3 boxes. Box A has 12 apples. Box B has twice as many as Box A. Box C has half as many as Box B. How many apples are there in total?"
Q004,logic,exact_match,22,"A snail falls into a 30-foot well. Every day it climbs up 3 feet, but at night it slips back 2 feet. How many days will it take for the snail to reach the top?"
Q005,logic,exact_match,30,"If I am 10 years old and my brother is half my age, how old will my brother be when I am 35?"
Q006,coding,contains,def reverse_string,"Write a Python function named 'reverse_string' that takes a string as input and returns the reversed string."
Q007,coding,contains,def count_vowels,"Write a Python function named 'count_vowels' that takes a string and returns the number of vowels in it."
Q008,coding,contains,def is_palindrome,"Write a Python function named 'is_palindrome' that checks if a given word is a palindrome. It should return True or False."
Q009,coding,contains,def find_max,"Write a Python function named 'find_max' that takes a list of integers and returns the largest number."
Q010,coding,contains,def calculate_factorial,"Write a Python function named 'calculate_factorial' that takes a non-negative integer and returns its factorial using a loop."
Q011,math,exact_match,120,"Calculate the area of a rectangle with a width of 10 meters and a length of 12 meters."
Q012,math,exact_match,45,"If a shirt costs $60 and is on sale for 25% off, what is the final price?"
Q013,math,exact_match,144,"What is 12 multiplied by 12?"
Q014,math,exact_match,60,"A train travels at 120 miles per hour. How many miles will it travel in 30 minutes?"
Q015,math,exact_match,8,"Solve for x: 3x + 6 = 30."
Q016,knowledge,contains,Alexander Fleming,"Who discovered penicillin?"
Q017,knowledge,contains,Jupiter,"What is the largest planet in our solar system?"
Q018,knowledge,contains,1969,"In what year did the first human step on the moon?"
Q019,knowledge,contains,Harper Lee,"Who wrote the novel 'To Kill a Mockingbird'?"
Q020,knowledge,contains,Carbon,"What element does 'C' represent on the periodic table?"
Q021,data_extraction,contains,TRX-9982,"Extract the transaction ID from this message: 'Your payment of $45.00 was successful. Reference code: TRX-9982. Thank you for your business.'"
Q022,data_extraction,contains,"October 14, 2023","Extract the delivery date from this text: 'Your package shipped via Fedex will arrive on October 14, 2023 by 8:00 PM.'"
Q023,data_extraction,contains,555-0198,"Find the phone number in this paragraph: 'If you have any questions regarding your recent stay at the Grand Hotel, please contact the front desk directly at 555-0198 during normal business hours.'"
Q024,data_extraction,contains,Sarah Jenkins,"Identify the project manager named in this email: 'We are kicking off the alpha phase next week. Sarah Jenkins will be leading the daily standups as the project manager. Please send her your updates.'"
Q025,data_extraction,contains,192.168.1.105,"Extract the IP address from this server log: 'Connection refused from host on port 8080. Client IP: 192.168.1.105. Check firewall rules.'"
