question_id,category,prompt,expected_output
W00,warmup,"hello",
W00,warmup,"hello",
W00,warmup,"hello",
W00,warmup,"hello",
W00,warmup,"hello",
W00,warmup,"hello",
W00,warmup,"hello",
W00,warmup,"hello",
W00,warmup,"hello",
W00,warmup,"hello",
L01,Logic,"A farmer has 10 cows. All but 5 die. How many cows are left?",5
L02,Logic,"If all Bleeps are Bloops and all Bloops are Blips, are all Bleeps definitely Blips? Answer Yes or No.",Yes
L03,Logic,"Alice, Bob, and Charlie sit in a line. Alice is not next to Bob. Charlie is on the far right. Who is sitting on the far left?",Bob
L04,Logic,"Three boxes are labeled 'Apples', 'Oranges', and 'Mixed'. Every box is labeled incorrectly. You pick one fruit from the box labeled 'Mixed' and it is an Apple. What fruit is actually in the box labeled 'Apples'?",Oranges
L05,Logic,"Four friends (Alex, Blake, Casey, Drew) live on four consecutive floors of a four-story building (1 to 4). Alex does not live on floor 1 or floor 4. Blake lives on a higher floor than Drew. Casey lives two floors above Drew. Which floor does Blake live on?",4
L06,Logic,"In a tournament, Team A beat Team B. Team C lost to Team B. Team D beat Team A. Rank the four teams from 1st to 4th place using initials separated by commas.","D, A, B, C"
L07,Logic,"Four cards are placed on a table showing 'A', 'B', '4', and '7'. Each card has a letter on one side and a number on the other. Which card(s) MUST you turn over to test the rule: 'If a card has a vowel on one side, it has an even number on the other'?",A and 7
L08,Logic,"A detective investigates four suspects: Paul, Qadir, Rita, and Sam. The culprit left a red hat at the scene. Paul never wears hats. Qadir was seen wearing a black hat all day. Rita only owns blue and green accessories. Sam was seen running from the scene wearing a red hat. Who is the culprit?",Sam
L09,Logic,"A logistics director must schedule four cargo deliveries (Shipments 1, 2, 3, and 4) across four consecutive time slots (Slot 1, Slot 2, Slot 3, Slot 4). The following operational constraints must all be satisfied simultaneously: 1. Shipment 1 cannot be assigned to Slot 1 or Slot 4. 2. Shipment 3 must be processed immediately after Shipment 2. 3. Shipment 4 cannot be assigned to Slot 3. 4. Shipment 2 must be scheduled in an earlier slot than Shipment 1. Based strictly on these constraints, determine which shipment must be assigned to Slot 1.",Shipment 2
L10,Logic,"An automated warehouse routing robot must navigate a grid-based distribution center according to strict safety rules. The grid locations are labeled A1 through A5. The robot starts at position A1 facing North. Rule 1: Moving Forward advances one grid square in the current direction. Rule 2: Turning Right changes direction clockwise by 90 degrees without changing location. Rule 3: Turning Left changes direction counter-clockwise by 90 degrees without changing location. Rule 4: Reversing changes direction by 180 degrees without changing location. The operator executes the following sequence of commands sequentially: Move Forward, Turn Right, Move Forward, Turn Left, Move Forward, Reverse, Move Forward. Assuming no collisions occur, what is the final grid square location of the robot?",A2
M01,Math,"If a car travels at 60 miles per hour, how many miles will it travel in 3.5 hours?",210
M02,Math,"What is 15% of 240?",36
M03,Math,"A store offers a 20% discount on a $150 jacket. After the discount is applied, a 10% sales tax is calculated on the discounted price. What is the final cost of the jacket in dollars?",132
M04,Math,"A bag contains 4 red balls, 6 blue balls, and 5 green balls. If one ball is drawn at random, what is the probability (as a simplified fraction) that it is NOT blue?",3/5
M05,Math,"A tech startup began Year 1 with an initial capital investment of $50,000. In Year 1, operating expenses were $20,000 and gross revenue was $35,000. In Year 2, gross revenue increased by 50% relative to Year 1 revenue, while operating expenses increased by 25% relative to Year 1 expenses. At the start of Year 3, the startup paid a flat corporate tax of 20% on the total net profit accumulated across Years 1 and 2 combined. What is the remaining total capital balance (initial investment plus net post-tax profits) in dollars at the start of Year 3?",82000
M06,Math,"Solve for x: 3x + 7 = 2x - 5",-12
M07,Math,"A rectangular swimming pool measures 10 meters long, 5 meters wide, and 2 meters deep. If water is pumped into the pool at a constant rate of 5 cubic meters per minute, how many minutes will it take to fill the pool completely?",20
M08,Math,"A bakery bakes batches of cookies and cakes. Each batch of cookies requires 2 cups of flour and 1 cup of sugar. Each batch of cakes requires 3 cups of flour and 2 cups of sugar. The bakery has 20 cups of flour and 12 cups of sugar available. If the bakery makes 4 batches of cakes, what is the maximum number of cookie batches it can make with the remaining flour?",4
M09,Math,"An asset management firm tracks an investment account over a 4-month quarter. In Month 1, the portfolio starts at $100,000 and gains 10%. In Month 2, the portfolio loses 10% of its new total value. In Month 3, the portfolio receives a cash injection of $11,000 and subsequently gains 20% on the entire combined balance. In Month 4, management deducts a flat 5% administrative fee from the total ending balance of Month 3. What is the final value of the investment account in dollars at the end of Month 4?",125400
